EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_GENDER	FR_SEXE	EN_SKILL_LEVEL	FR_NIVEAU_DE_COMPÉTENCE	TOTAL
2020	Q1	Feb	2020	T1	fév.	Male	Hommes	Other occupations	Autres occupations	12170
2019	Q3	Sep	2019	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	60
2021	Q4	Oct	2021	T4	oct.	Female	Femmes	Other occupations	Autres occupations	10235
2015	Q3	Sep	2015	T3	sept.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	20
2024	Q3	Aug	2024	T3	août	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q3	Jul	2021	T3	juil.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q3	Aug	2025	T3	août	Male	Hommes	Other occupations	Autres occupations	28025
2026	Q1	Jan	2026	T1	janv.	Female	Femmes	Other occupations	Autres occupations	37480
2019	Q3	Sep	2019	T3	sept.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2018	Q2	Jun	2018	T2	juin	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q3	Aug	2016	T3	août	Male	Hommes	Other occupations	Autres occupations	11680
2017	Q2	May	2017	T2	mai	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	50
2015	Q1	Mar	2015	T1	mars	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2015	Q4	Nov	2015	T4	nov.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	55
2021	Q1	Mar	2021	T1	mars	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q1	Mar	2015	T1	mars	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q3	Sep	2016	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	65
2024	Q2	Apr	2024	T2	avr.	Female	Femmes	Other occupations	Autres occupations	23480
2016	Q3	Aug	2016	T3	août	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	60
2025	Q3	Sep	2025	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	5
2020	Q1	Feb	2020	T1	fév.	Female	Femmes	Other occupations	Autres occupations	9275
2015	Q3	Aug	2015	T3	août	Female	Femmes	Other occupations	Autres occupations	7530
2021	Q4	Dec	2021	T4	déc.	Female	Femmes	Other occupations	Autres occupations	9350
2024	Q3	Aug	2024	T3	août	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2018	Q2	Apr	2018	T2	avr.	Female	Femmes	Other occupations	Autres occupations	8205
2022	Q3	Sep	2022	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2015	Q1	Feb	2015	T1	fév.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2023	Q1	Feb	2023	T1	fév.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	5
2023	Q4	Dec	2023	T4	déc.	Female	Femmes	Other occupations	Autres occupations	24205
2019	Q3	Sep	2019	T3	sept.	Female	Femmes	Other occupations	Autres occupations	15375
2018	Q4	Nov	2018	T4	nov.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	5
2020	Q3	Aug	2020	T3	août	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2017	Q2	Jun	2017	T2	juin	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	45
2023	Q2	May	2023	T2	mai	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2021	Q3	Jul	2021	T3	juil.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	15
2022	Q1	Mar	2022	T1	mars	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2018	Q3	Aug	2018	T3	août	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	55
2019	Q1	Jan	2019	T1	janv.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	55
2015	Q1	Feb	2015	T1	fév.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2024	Q4	Dec	2024	T4	déc.	Male	Hommes	Other occupations	Autres occupations	26730
2015	Q1	Feb	2015	T1	fév.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	30
2016	Q2	Apr	2016	T2	avr.	Female	Femmes	Other occupations	Autres occupations	9905
2016	Q1	Jan	2016	T1	janv.	Female	Femmes	Other occupations	Autres occupations	6935
2024	Q1	Jan	2024	T1	janv.	Male	Hommes	Other occupations	Autres occupations	38445
2022	Q2	Apr	2022	T2	avr.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2023	Q3	Sep	2023	T3	sept.	Female	Femmes	Other occupations	Autres occupations	34590
2021	Q3	Sep	2021	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	10
2015	Q2	May	2015	T2	mai	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	5
2023	Q3	Aug	2023	T3	août	Male	Hommes	Other occupations	Autres occupations	39090
2019	Q1	Feb	2019	T1	fév.	Female	Femmes	Other occupations	Autres occupations	7895
2015	Q4	Dec	2015	T4	déc.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2025	Q4	Nov	2025	T4	nov.	Male	Hommes	Other occupations	Autres occupations	25255
2019	Q3	Jul	2019	T3	juil.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2017	Q2	Apr	2017	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2023	Q4	Nov	2023	T4	nov.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q2	May	2019	T2	mai	Male	Hommes	Other occupations	Autres occupations	20615
2024	Q1	Mar	2024	T1	mars	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	10
2023	Q3	Sep	2023	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	5
2015	Q3	Jul	2015	T3	juil.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2022	Q4	Nov	2022	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q1	Jan	2021	T1	janv.	Female	Femmes	Other occupations	Autres occupations	15370
2017	Q3	Aug	2017	T3	août	Female	Femmes	Other occupations	Autres occupations	11830
2024	Q3	Jul	2024	T3	juil.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2025	Q2	Jun	2025	T2	juin	Male	Hommes	Other occupations	Autres occupations	23080
2018	Q4	Nov	2018	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2017	Q3	Jul	2017	T3	juil.	Female	Femmes	Other occupations	Autres occupations	9055
2022	Q1	Jan	2022	T1	janv.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q4	Oct	2015	T4	oct.	Male	Hommes	Other occupations	Autres occupations	11865
2023	Q1	Feb	2023	T1	fév.	Male	Hommes	Other occupations	Autres occupations	29350
2020	Q1	Feb	2020	T1	fév.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	30
2018	Q3	Aug	2018	T3	août	Female	Femmes	Other occupations	Autres occupations	11170
2019	Q3	Aug	2019	T3	août	Female	Femmes	Other occupations	Autres occupations	12700
2018	Q3	Sep	2018	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2020	Q4	Dec	2020	T4	déc.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2016	Q4	Nov	2016	T4	nov.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	55
2021	Q1	Jan	2021	T1	janv.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q2	Jun	2015	T2	juin	Another gender	Un autre genre	Other occupations	Autres occupations	--
2021	Q3	Aug	2021	T3	août	Male	Hommes	Other occupations	Autres occupations	20040
2022	Q1	Feb	2022	T1	fév.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2019	Q2	May	2019	T2	mai	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2018	Q2	Jun	2018	T2	juin	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	55
2015	Q3	Jul	2015	T3	juil.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	15
2025	Q4	Nov	2025	T4	nov.	Female	Femmes	Other occupations	Autres occupations	22370
