EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_GENDER	FR_SEXE	EN_SKILL_LEVEL	FR_NIVEAU_DE_COMPÉTENCE	TOTAL
2019	Q3	Jul	2019	T3	juil.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q2	Apr	2022	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q1	Jan	2022	T1	janv.	Male	Hommes	Other occupations	Autres occupations	13575
2015	Q1	Mar	2015	T1	mars	Male	Hommes	Other occupations	Autres occupations	7740
2015	Q4	Dec	2015	T4	déc.	Female	Femmes	Other occupations	Autres occupations	5540
2016	Q1	Feb	2016	T1	fév.	Male	Hommes	Other occupations	Autres occupations	8465
2016	Q3	Jul	2016	T3	juil.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2016	Q4	Oct	2016	T4	oct.	Female	Femmes	Other occupations	Autres occupations	8060
2019	Q1	Jan	2019	T1	janv.	Male	Hommes	Other occupations	Autres occupations	13800
2024	Q1	Feb	2024	T1	fév.	Female	Femmes	Other occupations	Autres occupations	36730
2023	Q2	Jun	2023	T2	juin	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2017	Q4	Nov	2017	T4	nov.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2016	Q3	Sep	2016	T3	sept.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q2	Apr	2016	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q3	Jul	2016	T3	juil.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q3	Sep	2019	T3	sept.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2017	Q3	Jul	2017	T3	juil.	Male	Hommes	Other occupations	Autres occupations	11290
2021	Q2	Jun	2021	T2	juin	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2015	Q2	May	2015	T2	mai	Female	Femmes	Other occupations	Autres occupations	6020
2018	Q2	Apr	2018	T2	avr.	Male	Hommes	Skill level not stated	Niveau de compétence non indiqué	--
2016	Q3	Jul	2016	T3	juil.	Female	Femmes	Other occupations	Autres occupations	9980
2018	Q3	Sep	2018	T3	sept.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	35
2023	Q1	Mar	2023	T1	mars	Another gender	Un autre genre	Other occupations	Autres occupations	5
2020	Q4	Oct	2020	T4	oct.	Female	Femmes	Other occupations	Autres occupations	15145
2020	Q1	Jan	2020	T1	janv.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2019	Q1	Feb	2019	T1	fév.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2018	Q2	Apr	2018	T2	avr.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q2	May	2022	T2	mai	Female	Femmes	Other occupations	Autres occupations	17360
2022	Q2	Jun	2022	T2	juin	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q1	Feb	2025	T1	fév.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2018	Q4	Nov	2018	T4	nov.	Male	Hommes	Other occupations	Autres occupations	13235
2026	Q1	Jan	2026	T1	janv.	Male	Hommes	Other occupations	Autres occupations	43195
2015	Q3	Aug	2015	T3	août	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	15
2025	Q4	Nov	2025	T4	nov.	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2023	Q4	Dec	2023	T4	déc.	Another gender	Un autre genre	Other occupations	Autres occupations	--
2025	Q1	Mar	2025	T1	mars	Male	Hommes	Other occupations	Autres occupations	29365
2017	Q3	Aug	2017	T3	août	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2022	Q2	Apr	2022	T2	avr.	Female	Femmes	Other occupations	Autres occupations	13785
2016	Q1	Mar	2016	T1	mars	Female	Femmes	Other occupations	Autres occupations	8865
2015	Q3	Sep	2015	T3	sept.	Female	Femmes	Other occupations	Autres occupations	9065
2025	Q3	Aug	2025	T3	août	Gender not stated	Sexe non déclaré	Other occupations	Autres occupations	--
2025	Q2	Jun	2025	T2	juin	Another gender	Un autre genre	Other occupations	Autres occupations	10
2019	Q2	Jun	2019	T2	juin	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2017	Q4	Oct	2017	T4	oct.	Female	Femmes	Skill level not stated	Niveau de compétence non indiqué	--
2021	Q4	Dec	2021	T4	déc.	Another gender	Un autre genre	Other occupations	Autres occupations	--
