EN_YEAR	EN_QUARTER	EN_MONTH	FR_ANNEÉ	FR_TRIMESTRE	FR_MOIS	EN_PROVINCE_TERRITORY	FR_PROVINCE_TERRITOIRE	EN_AGE	FR_ÂGE	TOTAL
2015	Q1	Jan	2015	T1	janv.	Nova Scotia	Nouvelle-Écosse	75 years old or more	75 ans et plus	--
2015	Q1	Jan	2015	T1	janv.	Nunavut	Nunavut	30 to 44 years old	30 à 44 ans	--
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	0 to 14 years old	0 à 14 ans	740
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	15 to 29 years old	15 à 29 ans	1640
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	30 to 44 years old	30 à 44 ans	1950
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	45 to 59 years old	45 à 59 ans	675
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	60 to 74 years old	60 à 74 ans	260
2015	Q1	Jan	2015	T1	janv.	Ontario	Ontario	75 years old or more	75 ans et plus	55
2015	Q1	Jan	2015	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	0 to 14 years old	0 à 14 ans	15
2015	Q1	Jan	2015	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	15 to 29 years old	15 à 29 ans	10
2015	Q1	Jan	2015	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	30 to 44 years old	30 à 44 ans	10
2015	Q1	Jan	2015	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	45 to 59 years old	45 à 59 ans	5
2015	Q1	Jan	2015	T1	janv.	Prince Edward Island	Île-du-Prince-Édouard	75 years old or more	75 ans et plus	--
2015	Q1	Jan	2015	T1	janv.	Province/territory not stated	Province / territoire non déclaré(e)	0 to 14 years old	0 à 14 ans	--
2015	Q1	Jan	2015	T1	janv.	Province/territory not stated	Province / territoire non déclaré(e)	15 to 29 years old	15 à 29 ans	--
2015	Q1	Jan	2015	T1	janv.	Province/territory not stated	Province / territoire non déclaré(e)	30 to 44 years old	30 à 44 ans	--
